customer_id,name,region,stated_risk_level,txn_frequency,avg_txn_amount,total_txn_amount,max_txn_amount,high_risk_txn_count,large_txn_count,sanction_count,first_txn_date,last_txn_date
1,Anthony Smith,West,Medium,1,5185.75,5185.75,5185.75,0,0,1,2024-02-18,2024-02-18
2,Brenda Johnson,South,Low,2,6503.46,13006.92,9928.75,1,1,1,2024-07-15,2024-10-30
3,Edwin Soto,North,High,1,3151.21,3151.21,3151.21,1,0,2,2023-12-25,2023-12-25
4,James Campbell,South,Low,4,4092.14,16368.56,6185.55,0,0,3,2024-01-13,2024-11-19
5,Richard Cohen,North,Medium,0,,0.0,,0,0,2,,
6,Ryan Henry,North,Medium,0,,0.0,,0,0,3,,
7,Chris Wong,East,Low,1,4133.14,4133.14,4133.14,1,0,1,2024-06-10,2024-06-10
8,Patrick Spencer,East,Low,1,6583.51,6583.51,6583.51,0,0,1,2024-11-14,2024-11-14
9,James Lopez,East,Medium,3,4593.86,13781.57,7909.91,2,0,1,2024-07-21,2024-11-18
10,Jared Harmon,North,High,3,2462.24,7386.73,3298.52,1,0,1,2024-08-20,2024-09-22
11,Christopher Palmer,East,Low,1,5631.9,5631.9,5631.9,0,0,0,2024-10-11,2024-10-11
12,Alejandra Turner,West,Low,0,,0.0,,0,0,4,,
13,Sarah Harper,East,Low,2,5864.76,11729.52,6884.99,1,0,2,2023-12-18,2024-05-15
14,April Brown,South,Low,1,8724.29,8724.29,8724.29,1,0,3,2023-11-23,2023-11-23
15,Johnny Wilson,South,Low,1,4809.83,4809.83,4809.83,1,0,1,2024-09-30,2024-09-30
16,Jason Lee,North,Low,0,,0.0,,0,0,0,,
17,Deborah Gilbert,North,Low,0,,0.0,,0,0,0,,
18,Frank Myers,West,Medium,1,7750.07,7750.07,7750.07,1,0,2,2024-07-26,2024-07-26
19,Rebekah Alexander,West,Low,3,2430.96,7292.88,3668.41,2,0,0,2023-12-05,2024-05-21
20,Amanda Franklin,West,Medium,0,,0.0,,0,0,0,,
21,Michelle Hart,West,Medium,2,6150.3,12300.6,6445.35,0,0,1,2024-05-28,2024-09-22
22,Lucas Lynch,East,Low,0,,0.0,,0,0,0,,
23,Stephanie Cummings,South,Low,1,5772.74,5772.74,5772.74,0,0,1,2024-08-03,2024-08-03
24,Carolyn Gilmore,West,Low,1,6825.12,6825.12,6825.12,1,0,3,2024-08-20,2024-08-20
25,Laura Smith,South,Low,1,7610.93,7610.93,7610.93,1,0,1,2024-04-19,2024-04-19
26,James Rivera,North,High,0,,0.0,,0,0,1,,
27,Linda Chavez,West,Medium,1,6050.36,6050.36,6050.36,1,0,0,2023-12-02,2023-12-02
28,Steven Pineda,West,Low,2,3693.14,7386.27,7010.93,1,0,3,2024-03-11,2024-07-08
29,Becky Hughes DVM,South,High,1,6418.22,6418.22,6418.22,1,0,1,2024-06-07,2024-06-07
30,Rebekah Rivers,East,Medium,1,980.92,980.92,980.92,1,0,2,2024-03-10,2024-03-10
31,Scott Smith,West,Low,1,8488.58,8488.58,8488.58,0,0,1,2024-08-18,2024-08-18
32,Thomas Gutierrez,East,Low,0,,0.0,,0,0,0,,
33,Tammy Lopez,North,Medium,1,6234.57,6234.57,6234.57,1,0,1,2024-07-04,2024-07-04
34,Jessica Bowman,South,High,2,8131.33,16262.65,9074.28,0,1,0,2024-03-18,2024-04-14
35,Jenny Obrien,South,Low,0,,0.0,,0,0,0,,
36,Shannon Arnold,West,Medium,0,,0.0,,0,0,1,,
37,Jonathan Collins,East,High,2,2955.01,5910.01,4022.74,1,0,2,2024-02-12,2024-04-21
38,James Hubbard,North,Medium,0,,0.0,,0,0,0,,
39,Charles Barnes,South,Low,1,6524.94,6524.94,6524.94,0,0,0,2024-08-05,2024-08-05
40,Amber Anderson,East,Low,1,3597.19,3597.19,3597.19,0,0,1,2023-12-25,2023-12-25
41,Tyler Gray,West,High,1,6712.87,6712.87,6712.87,0,0,0,2024-07-12,2024-07-12
42,Tyler Ferguson,West,Low,0,,0.0,,0,0,0,,
43,Dana Delgado,North,Low,0,,0.0,,0,0,1,,
44,Melanie Rose,South,Low,1,6793.69,6793.69,6793.69,0,0,0,2024-10-09,2024-10-09
45,Nicholas Mccarthy,West,High,1,9662.49,9662.49,9662.49,1,1,2,2024-03-08,2024-03-08
46,Jennifer Saunders,South,Medium,2,1340.72,2681.43,2503.9,1,0,1,2024-06-20,2024-10-28
47,Sarah Lewis,East,High,2,3312.51,6625.02,3910.84,1,0,1,2023-12-26,2024-02-15
48,Nicole Bowers,East,High,1,4148.39,4148.39,4148.39,1,0,1,2024-04-21,2024-04-21
49,John Wells,East,Low,0,,0.0,,0,0,1,,
50,Michelle Gallagher,South,Medium,2,2718.19,5436.37,2723.36,1,0,0,2024-06-05,2024-08-10
51,Michael Rice,North,Medium,0,,0.0,,0,0,0,,
52,Briana Johnson,East,Low,1,7025.51,7025.51,7025.51,1,0,1,2024-01-30,2024-01-30
53,Brandon Maynard,East,Medium,1,823.07,823.07,823.07,1,0,1,2024-04-08,2024-04-08
54,Roger Allison,South,High,2,6731.73,13463.47,6794.4,0,0,0,2024-06-12,2024-08-04
55,Kristina Myers,South,High,0,,0.0,,0,0,0,,
56,Joseph Vincent,South,Low,1,9515.56,9515.56,9515.56,1,1,2,2024-04-18,2024-04-18
