customer_id,name,region,stated_risk_level,txn_frequency,avg_txn_amount,total_txn_amount,high_risk_txn_count,large_txn_count,sanction_count,score_high_risk_txns,score_large_txns,score_sanctions,score_stated_level,composite_risk_score,computed_segment
1,Anthony Smith,West,Medium,1,5185.75,5185.75,0,0,1,0,0,25,12,37,Medium
2,Brenda Johnson,South,Low,2,6503.46,13006.92,1,1,1,10,12,25,0,47,Medium
3,Edwin Soto,North,High,1,3151.21,3151.21,1,0,2,10,0,25,25,60,High
4,James Campbell,South,Low,4,4092.14,16368.56,0,0,3,0,0,25,0,25,Low
5,Richard Cohen,North,Medium,0,,0.0,0,0,2,0,0,25,12,37,Medium
6,Ryan Henry,North,Medium,0,,0.0,0,0,3,0,0,25,12,37,Medium
7,Chris Wong,East,Low,1,4133.14,4133.14,1,0,1,10,0,25,0,35,Medium
8,Patrick Spencer,East,Low,1,6583.51,6583.51,0,0,1,0,0,25,0,25,Low
9,James Lopez,East,Medium,3,4593.86,13781.57,2,0,1,20,0,25,12,57,Medium
10,Jared Harmon,North,High,3,2462.24,7386.73,1,0,1,10,0,25,25,60,High
11,Christopher Palmer,East,Low,1,5631.9,5631.9,0,0,0,0,0,0,0,0,Low
12,Alejandra Turner,West,Low,0,,0.0,0,0,4,0,0,25,0,25,Low
13,Sarah Harper,East,Low,2,5864.76,11729.52,1,0,2,10,0,25,0,35,Medium
14,April Brown,South,Low,1,8724.29,8724.29,1,0,3,10,0,25,0,35,Medium
15,Johnny Wilson,South,Low,1,4809.83,4809.83,1,0,1,10,0,25,0,35,Medium
16,Jason Lee,North,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
17,Deborah Gilbert,North,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
18,Frank Myers,West,Medium,1,7750.07,7750.07,1,0,2,10,0,25,12,47,Medium
19,Rebekah Alexander,West,Low,3,2430.96,7292.88,2,0,0,20,0,0,0,20,Low
20,Amanda Franklin,West,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
21,Michelle Hart,West,Medium,2,6150.3,12300.6,0,0,1,0,0,25,12,37,Medium
22,Lucas Lynch,East,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
23,Stephanie Cummings,South,Low,1,5772.74,5772.74,0,0,1,0,0,25,0,25,Low
24,Carolyn Gilmore,West,Low,1,6825.12,6825.12,1,0,3,10,0,25,0,35,Medium
25,Laura Smith,South,Low,1,7610.93,7610.93,1,0,1,10,0,25,0,35,Medium
26,James Rivera,North,High,0,,0.0,0,0,1,0,0,25,25,50,Medium
27,Linda Chavez,West,Medium,1,6050.36,6050.36,1,0,0,10,0,0,12,22,Low
28,Steven Pineda,West,Low,2,3693.14,7386.27,1,0,3,10,0,25,0,35,Medium
29,Becky Hughes DVM,South,High,1,6418.22,6418.22,1,0,1,10,0,25,25,60,High
30,Rebekah Rivers,East,Medium,1,980.92,980.92,1,0,2,10,0,25,12,47,Medium
31,Scott Smith,West,Low,1,8488.58,8488.58,0,0,1,0,0,25,0,25,Low
32,Thomas Gutierrez,East,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
33,Tammy Lopez,North,Medium,1,6234.57,6234.57,1,0,1,10,0,25,12,47,Medium
34,Jessica Bowman,South,High,2,8131.33,16262.65,0,1,0,0,12,0,25,37,Medium
35,Jenny Obrien,South,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
36,Shannon Arnold,West,Medium,0,,0.0,0,0,1,0,0,25,12,37,Medium
37,Jonathan Collins,East,High,2,2955.01,5910.01,1,0,2,10,0,25,25,60,High
38,James Hubbard,North,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
39,Charles Barnes,South,Low,1,6524.94,6524.94,0,0,0,0,0,0,0,0,Low
40,Amber Anderson,East,Low,1,3597.19,3597.19,0,0,1,0,0,25,0,25,Low
41,Tyler Gray,West,High,1,6712.87,6712.87,0,0,0,0,0,0,25,25,Low
42,Tyler Ferguson,West,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
43,Dana Delgado,North,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
44,Melanie Rose,South,Low,1,6793.69,6793.69,0,0,0,0,0,0,0,0,Low
45,Nicholas Mccarthy,West,High,1,9662.49,9662.49,1,1,2,10,12,25,25,72,High
46,Jennifer Saunders,South,Medium,2,1340.72,2681.43,1,0,1,10,0,25,12,47,Medium
47,Sarah Lewis,East,High,2,3312.51,6625.02,1,0,1,10,0,25,25,60,High
48,Nicole Bowers,East,High,1,4148.39,4148.39,1,0,1,10,0,25,25,60,High
49,John Wells,East,Low,0,,0.0,0,0,1,0,0,25,0,25,Low
50,Michelle Gallagher,South,Medium,2,2718.19,5436.37,1,0,0,10,0,0,12,22,Low
51,Michael Rice,North,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
52,Briana Johnson,East,Low,1,7025.51,7025.51,1,0,1,10,0,25,0,35,Medium
53,Brandon Maynard,East,Medium,1,823.07,823.07,1,0,1,10,0,25,12,47,Medium
54,Roger Allison,South,High,2,6731.73,13463.47,0,0,0,0,0,0,25,25,Low
55,Kristina Myers,South,High,0,,0.0,0,0,0,0,0,0,25,25,Low
56,Joseph Vincent,South,Low,1,9515.56,9515.56,1,1,2,10,12,25,0,47,Medium
57,Dr. Natalie Hernandez,East,Low,1,3548.93,3548.93,1,0,1,10,0,25,0,35,Medium
58,Jennifer Bell,West,Low,0,,0.0,0,0,0,0,0,0,0,0,Low
59,Rachel Avila,West,High,1,6010.86,6010.86,1,0,1,10,0,25,25,60,High
60,Heather Parrish,West,Low,1,2136.09,2136.09,0,0,1,0,0,25,0,25,Low
61,George Smith,West,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
62,Stephanie Sanders,West,High,1,467.73,467.73,0,0,0,0,0,0,25,25,Low
63,Andrew Harris,West,Low,0,,0.0,0,0,2,0,0,25,0,25,Low
64,Tina Farmer,West,Medium,1,4907.27,4907.27,1,0,1,10,0,25,12,47,Medium
65,Christopher Coleman,North,Low,0,,0.0,0,0,3,0,0,25,0,25,Low
66,Robert Sosa,East,Low,2,4641.93,9283.87,1,0,0,10,0,0,0,10,Low
67,Jessica Moyer,South,Medium,3,1396.78,4190.34,1,0,1,10,0,25,12,47,Medium
68,Anthony Nunez,West,Medium,2,3408.07,6816.14,1,0,1,10,0,25,12,47,Medium
69,Christopher Morton,West,Medium,0,,0.0,0,0,2,0,0,25,12,37,Medium
70,Kathleen Larson,North,Medium,0,,0.0,0,0,0,0,0,0,12,12,Low
