transaction_id,customer_id,customer_name,customer_region,customer_stated_risk,bank_id,bank_name,compliance_score,amount,txn_date,location,flag_large_amount,flag_high_frequency_customer,flag_high_risk_location,flag_low_compliance_bank,sanctions_flag,behavioural_score,fraud_score,severity,requires_analyst_review
501,958,Marcus Little,North,Low,809,Bank 809,0.59,9994.12,2024-03-03,West Tara,1,0,1,1,1,3,4,Critical,1
566,270,Daniel Mason,South,Low,147,Bank 147,0.59,9934.56,2024-09-16,Lake Teresaborough,1,0,1,1,1,3,4,Critical,1
639,301,Timothy Contreras,North,Medium,535,Bank 535,0.55,9790.33,2024-08-09,New Kristen,1,1,0,1,1,3,4,Critical,1
35,786,Deborah Reyes,East,High,958,Bank 958,0.84,9716.82,2024-04-24,West Christine,1,1,1,0,1,3,4,Critical,1
954,314,Lisa Colon,West,Low,557,Bank 557,0.58,9683.82,2024-04-07,Stephanieberg,1,0,1,1,1,3,4,Critical,1
909,771,Jennifer Jimenez,West,Medium,132,Bank 132,0.85,9648.45,2024-03-22,New Dawn,1,1,1,0,1,3,4,Critical,1
567,151,Cory Collins,East,High,88,Bank 88,0.52,9509.48,2024-02-17,Charlesborough,1,0,1,1,1,3,4,Critical,1
17,687,Anna Patterson,East,High,759,Bank 759,0.58,9417.45,2024-04-28,South Angelastad,1,0,1,1,1,3,4,Critical,1
667,122,Angel Harper,East,Low,535,Bank 535,0.55,9387.23,2023-12-22,Christianmouth,1,0,1,1,1,3,4,Critical,1
323,429,Matthew Patel,South,Medium,514,Bank 514,0.53,9355.9,2024-01-14,South Brittanychester,1,0,1,1,1,3,4,Critical,1
3,143,Mark Taylor,East,Medium,598,Bank 598,0.57,9223.78,2024-04-27,Brendanberg,1,0,1,1,1,3,4,Critical,1
330,714,Alexis Wilson,West,Medium,651,Bank 651,0.54,5910.77,2023-12-28,Priceside,0,1,1,1,1,3,4,Critical,1
238,611,Sharon Crawford,East,Low,677,Bank 677,0.58,4561.89,2024-10-04,New Richardview,0,1,1,1,1,3,4,Critical,1
214,400,Mary Brewer,South,Low,746,Bank 746,0.53,4037.01,2024-06-07,South Elizabethside,0,1,1,1,1,3,4,Critical,1
178,357,Kathryn Shelton,West,High,898,Bank 898,0.72,9995.9,2024-11-16,Hudsonborough,1,0,1,0,1,2,3,High,1
380,868,Douglas Martin,South,High,48,Bank 48,0.7,9931.19,2024-11-16,Rodriguezberg,1,0,1,0,1,2,3,High,1
900,2,Brenda Johnson,South,Low,122,Bank 122,0.55,9928.75,2024-10-30,North Robert,1,0,0,1,1,2,3,High,1
500,271,Valerie Robinson,East,Low,732,Bank 732,0.94,9895.62,2024-04-13,Lake Jasmineport,1,0,1,0,1,2,3,High,1
188,930,Haley Harris,East,High,5,"Wilcox, Lynch and Weeks",0.51,9855.67,2024-07-12,Brianville,1,0,0,1,1,2,3,High,1
